

                                    GSAT-11 PID AND TM CHANNEL TABULAR OUTPUT                               PAGE  : 1  

Required period  : 21-AUG-2024 00 00 00  TO 31-AUG-2024 00 00 00        STATION : HSN1                          5 SEP 2024
Available period : 21 AUG 2024 00:00:05  TO 31 AUG 2024 00:00:00    THIN. FACTOR:   1     PTM:EXCLUDE  CRC:ENABLE                   13:24:43


                              ES-1 ROLL   ES-1 PITCH  ES-1 DATA   ES-1 SCAN  
                              ERROR  DEG   ERROR DEG  VALID STS   VALID STS  
  DD MMM YYYY HH MM SS FID    7761        7762        4800        4802    

                              ERROR  DEG   ERROR DEG  VALID STS   VALID STS  
  DD MMM YYYY HH MM SS FID    7761        7762        4800        4802    

               0  4 11  10       0.010       0.854       VALID       VALID  
               0  4 12  11       0.012       0.852       VALID       VALID  
               0  4 13  12       0.006       0.859       VALID       VALID  
               0  4 14  13       0.011       0.844       VALID       VALID  
               0  4 15  14       0.011       0.837       VALID       VALID  
               0  4 16  15       0.002       0.842       VALID       VALID  
               0  4 17  16       0.015       0.842       VALID       VALID  
               0  4 18  17       0.004       0.842       VALID       VALID  
               0  4 19  18       0.010       0.850       VALID       VALID  
               0  4 20  19       0.009       0.850       VALID       VALID  
               0  4 21  1a       0.012       0.840       VALID       VALID  
               0  4 22  1b       0.014       0.864       VALID       VALID  
               0  4 23  1c       0.005       0.851       VALID       VALID  
               0  4 24  1d       0.025       0.859       VALID       VALID  
               0  4 25  1e       0.011       0.856       VALID       VALID  
               0  4 26  1f       0.010       0.824       VALID       VALID  
               0  4 27  00       0.010       0.844       VALID       VALID  
               0  4 28  01       0.015       0.831       VALID       VALID  
               0  4 29  02       0.014       0.842       VALID       VALID  
               0  4 30  03       0.015       0.866       VALID       VALID  
               0  4 31  04       0.004       0.864       VALID       VALID  
               0  4 32  05       0.000       0.861       VALID       VALID  
               0  4 33  06       0.011       0.847       VALID       VALID  
               0  4 34  07       0.009       0.856       VALID       VALID  
               0  4 35  08       0.019       0.846       VALID       VALID  
               0  4 36  09       0.018       0.846       VALID       VALID  
               0  4 37  0a       0.009       0.852       VALID       VALID  
               0  4 38  0b       0.014       0.851       VALID       VALID  
               0  4 39  0c       0.016       0.852       VALID       VALID  
               0  4 40  0d       0.009       0.840       VALID       VALID  
               0  4 41  0e       0.021       0.841       VALID       VALID  
               0  4 42  0f       0.016       0.831       VALID       VALID  
               0  4 43  10      -0.001       0.831       VALID       VALID  
               0  4 44  11       0.019       0.849       VALID       VALID  
               0  4 45  12       0.020       0.852       VALID       VALID  
               0  4 46  13       0.001       0.836       VALID       VALID  
               0  4 47  14      -0.016       0.857       VALID       VALID  
               0  4 48  15       0.021       0.855       VALID       VALID  
               0  4 50  16       0.019       0.840       VALID       VALID  
               0  4 51  17       0.006       0.840       VALID       VALID  
               0  4 52  18       0.005       0.837       VALID       VALID  
               0  4 53  19       0.030       0.855       VALID       VALID  
               0  4 54  1a       0.018       0.847       VALID       VALID  
               0  4 55  1b       0.015       0.854       VALID       VALID  
               0  4 56  1c       0.016       0.857       VALID       VALID  
               0  4 57  1d       0.012       0.846       VALID       VALID  
               0  4 58  1e       0.018       0.841       VALID       VALID  
               0  4 59  1f       0.016       0.827       VALID       VALID  

                                    GSAT-11 PID AND TM CHANNEL TABULAR OUTPUT                               PAGE  : 7  

Required period  : 21-AUG-2024 00 00 00  TO 31-AUG-2024 00 00 00        STATION : HSN1                          5 SEP 2024
Available period : 21 AUG 2024 00:00:05  TO 31 AUG 2024 00:00:00    THIN. FACTOR:   1     PTM:EXCLUDE  CRC:ENABLE                   13:24:43


                              ES-1 ROLL   ES-1 PITCH  ES-1 DATA   ES-1 SCAN  
                              ERROR  DEG   ERROR DEG  VALID STS   VALID STS  
  DD MMM YYYY HH MM SS FID    7761        7762        4800        4802    

               0  5  0  00       0.006       0.829       VALID       VALID  
               0  5  1  01       0.018       0.825       VALID       VALID  
               0  5  2  02       0.010       0.859       VALID       VALID  
               0  5  3  03       0.020       0.829       VALID       VALID  
               0  5  4  04       0.009       0.829       VALID       VALID  
               0  5  5  05       0.007       0.850       VALID       VALID  
               0  5  6  06       0.006       0.846       VALID       VALID  
               0  5  7  07       0.019       0.831       VALID       VALID  
               0  5  8  08       0.012       0.856       VALID       VALID  
               0  5  9  09       0.016       0.861       VALID       VALID  
               0  5 10  0a       0.018       0.859       VALID       VALID  
               0  5 11  0b       0.015       0.840       VALID       VALID  
               0  5 12  0c       0.025       0.847       VALID       VALID  
               0  5 13  0d       0.007       0.856       VALID       VALID  
               0  5 14  0e       0.014       0.857       VALID       VALID  
               0  5 15  0f       0.031       0.859       VALID       VALID  
               0  5 16  10       0.006       0.837       VALID       VALID  
               0  5 17  11       0.011       0.842       VALID       VALID  
               0  5 18  12       0.004       0.837       VALID       VALID  
               0  5 19  13       0.011       0.834       VALID       VALID  
               0  5 20  14      -0.002       0.845       VALID       VALID  
               0  5 21  15       0.016       0.836       VALID       VALID  
               0  5 22  16       0.015       0.856       VALID       VALID  
               0  5 23  17       0.011       0.854       VALID       VALID  
               0  5 24  18       0.022       0.857       VALID       VALID  
               0  5 25  19       0.007       0.845       VALID       VALID  
               0  5 26  1a       0.006       0.831       VALID       VALID  
               0  5 27  1b       0.021       0.829       VALID       VALID  
               0  5 28  1c       0.018       0.854       VALID       VALID  
               0  5 29  1d       0.025       0.844       VALID       VALID  
               0  5 30  1e       0.012       0.851       VALID       VALID  
               0  5 31  1f       0.011       0.829       VALID       VALID  
               0  5 33  00       0.015       0.834       VALID       VALID  
               0  5 34  01       0.018       0.840       VALID       VALID  
               0  5 35  02       0.024       0.831       VALID       VALID  
               0  5 36  03       0.020       0.846       VALID       VALID  
               0  5 37  04       0.007       0.832       VALID       VALID  
               0  5 38  05       0.014       0.852       VALID       VALID  
               0  5 39  06       0.025       0.836       VALID       VALID  
               0  5 40  07       0.025       0.839       VALID       VALID  
               0  5 41  08       0.007       0.826       VALID       VALID  
               0  5 42  09       0.025       0.850       VALID       VALID  
               0  5 43  0a       0.014       0.850       VALID       VALID  
               0  5 44  0b       0.016       0.840       VALID       VALID  
               0  5 45  0c       0.010       0.852       VALID       VALID  
               0  5 46  0d       0.006       0.855       VALID       VALID  
               0  5 47  0e       0.000       0.841       VALID       VALID  
               0  5 48  0f       0.025       0.846       VALID       VALID  

                                    GSAT-11 PID AND TM CHANNEL TABULAR OUTPUT                               PAGE  : 8  

Required period  : 21-AUG-2024 00 00 00  TO 31-AUG-2024 00 00 00        STATION : HSN1                          5 SEP 2024
Available period : 21 AUG 2024 00:00:05  TO 31 AUG 2024 00:00:00    THIN. FACTOR:   1     PTM:EXCLUDE  CRC:ENABLE                   13:24:43


                              ES-1 ROLL   ES-1 PITCH  ES-1 DATA   ES-1 SCAN  
                              ERROR  DEG   ERROR DEG  VALID STS   VALID STS  
  DD MMM YYYY HH MM SS FID    7761        7762        4800        4802    

               0  5 49  10       0.022       0.844       VALID       VALID  
               0  5 50  11       0.006       0.861       VALID       VALID  
               0  5 51  12       0.010       0.841       VALID       VALID  
               0  5 52  13       0.005       0.834       VALID       VALID  
               0  5 53  14       0.009       0.830       VALID       VALID  
               0  5 54  15       0.021       0.839       VALID       VALID  
               0  5 55  16       0.004       0.844       VALID       VALID  
               0  5 56  17       0.012       0.854       VALID       VALID  
               0  5 57  18       0.015       0.856       VALID       VALID  
               0  5 58  19       0.007       0.845       VALID       VALID  
               0  5 59  1a       0.022       0.846       VALID       VALID  
               0  6  0  1b       0.000       0.839       VALID       VALID  
               0  6  1  1c       0.022       0.844       VALID       VALID  
               0  6  2  1d       0.011       0.856       VALID       VALID  
               0  6  3  1e       0.006       0.836       VALID       VALID  
               0  6  4  1f       0.004       0.851       VALID       VALID  
               0  6  5  00       0.001       0.841       VALID       VALID  
               0  6  6  01       0.016       0.842       VALID       VALID  
               0  6  7  02       0.012       0.860       VALID       VALID  
               0  6  8  03       0.016       0.839       VALID       VALID  
               0  6  9  04       0.011       0.860       VALID       VALID  
               0  6 10  05       0.024       0.837       VALID       VALID  
               0  6 11  06       0.009       0.849       VALID       VALID  
               0  6 12  07       0.021       0.854       VALID       VALID  
               0  6 13  08       0.007       0.842       VALID       VALID  
               0  6 14  09       0.019       0.839       VALID       VALID  
               0  6 16  0a       0.015       0.855       VALID       VALID  
               0  6 17  0b       0.005       0.870       VALID       VALID  
               0  6 18  0c       0.016       0.851       VALID       VALID  
               0  6 19  0d      -0.005       0.851       VALID       VALID  
               0  6 20  0e       0.029       0.854       VALID       VALID  
               0  6 21  0f       0.024       0.847       VALID       VALID  
               0  6 22  10       0.027       0.851       VALID       VALID  
               0  6 23  11       0.026       0.866       VALID       VALID  
               0  6 24  12       0.007       0.845       VALID       VALID  
               0  6 25  13       0.010       0.840       VALID       VALID  
               0  6 26  14       0.011       0.842       VALID       VALID  
               0  6 27  15       0.001       0.846       VALID       VALID  
               0  6 28  16       0.010       0.835       VALID       VALID  
               0  6 29  17       0.007       0.851       VALID       VALID  
               0  6 30  18       0.007       0.860       VALID       VALID  
               0  6 31  19       0.027       0.845       VALID       VALID  
               0  6 32  1a       0.011       0.856       VALID       VALID  
               0  6 33  1b       0.031       0.844       VALID       VALID  
               0  6 34  1c       0.025       0.825       VALID       VALID  
               0  6 35  1d       0.024       0.856       VALID       VALID  
               0  6 36  1e       0.014       0.849       VALID       VALID  
               0  6 37  1f       0.007       0.839       VALID       VALID  

                                    GSAT-11 PID AND TM CHANNEL TABULAR OUTPUT                               PAGE  : 9  

Required period  : 21-AUG-2024 00 00 00  TO 31-AUG-2024 00 00 00        STATION : HSN1                          5 SEP 2024
Available period : 21 AUG 2024 00:00:05  TO 31 AUG 2024 00:00:00    THIN. FACTOR:   1     PTM:EXCLUDE  CRC:ENABLE                   13:24:43


